variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,mean_abs_cte_m_mean,mean_abs_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std,mean_solve_ms_mean,mean_solve_ms_std,progress_m_mean,progress_m_std
pacejka_oracle,405,405,0.49041741019314333,0.5548382064611592,0.2781788948006794,0.2658052363216334,0.6948306672348331,0.15167713154715864,4.680407339010294,0.8283371016231029,2.831870513591594,0.6831568343247081,128.81367281876277,5.362890322581032
pacejka_rigfit,405,405,0.5480544885058637,0.5611128994142209,0.3061257383587596,0.26573984781433624,0.6963434125451692,0.15225754430571056,4.690194651282921,0.8288909945186337,2.851306581383208,0.6328641897759705,128.87547913002302,5.363204389225358
