status,collided,min_clear,mean_dsteer,mean_dthrottle,max_abs_y,steer_reversals,progress_x,final_v,scenario,title,cite,filter
ok,0,1.476417,0.5062352611464969,0.12978514012738854,5.143015,11,71.784236,5.965897,8_late_cut_in,Late cut-in by an adjacent vehicle,Bogdoll 2022; VSD 2025,mpsf
ok,0,4.458545,0.4641935159235668,0.6031002993630573,2.312496,32,65.541292,4.654215,8_late_cut_in,Late cut-in by an adjacent vehicle,Bogdoll 2022; VSD 2025,qcbf
ok,1,-3.586415,0.0,0.004127388535031846,0.647213,0,25.368853,0.549995,9_freeze_into_stalled,Connection loss approaching a stalled vehicle,Brettin 2025,none
ok,0,12.236119,0.6534151910828025,0.6,0.01083,2,0.053766,0.005173,9_freeze_into_stalled,Connection loss approaching a stalled vehicle,Brettin 2025,dob_cbf
ok,0,2.713176,0.0065837515923566885,0.38791899363057325,0.498418,11,9.591805,0.002357,9_freeze_into_stalled,Connection loss approaching a stalled vehicle,Brettin 2025,mpsf
ok,0,2.454197,0.4612805159235669,0.4963781210191083,0.929447,1,9.862348,0.00359,9_freeze_into_stalled,Connection loss approaching a stalled vehicle,Brettin 2025,qcbf
ok,0,-0.208954,0.0034457643312101912,0.061108547770700634,0.018525,30,84.104282,5.609226,10_oncoming_pio,Oncoming vehicle during latency-induced oscillation,VSD 2025; Orosz IV 2024,none
ok,0,0.827358,0.315305025477707,0.1354941592356688,1.693114,16,67.85756,5.296266,10_oncoming_pio,Oncoming vehicle during latency-induced oscillation,VSD 2025; Orosz IV 2024,dob_cbf
ok,0,0.924057,0.15818032484076433,0.10853304458598725,3.397928,20,76.790084,5.612262,10_oncoming_pio,Oncoming vehicle during latency-induced oscillation,VSD 2025; Orosz IV 2024,mpsf
ok,0,-0.09696,0.2556969171974522,0.24657235031847133,0.380977,22,56.840389,5.601919,10_oncoming_pio,Oncoming vehicle during latency-induced oscillation,VSD 2025; Orosz IV 2024,qcbf
