variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std
baseline,24,24,0.14756394533556869,0.15693816157698262,0.8033329557818706,0.10053872762145291,4.73285388576171,0.3994473002336704
terrain,24,24,0.058151786421656644,0.014476501939969738,0.7079250984492872,0.14436099399324043,4.151252440143217,0.6478030161179841
