variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,mean_abs_cte_m_mean,mean_abs_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std,mean_solve_ms_mean,mean_solve_ms_std,progress_m_mean,progress_m_std
pacejka,405,405,0.5527141466886532,0.5595709615775577,0.31397009824561406,0.2796256932175306,0.6956721139973607,0.15303396089148233,4.6848153020302545,0.8312827693043894,2.8015967254007608,0.6277453626893554,128.86580797931393,5.376009725665648
tmeasy,405,405,0.6530675906257352,0.8052684119320679,0.38152444008982817,0.478715451425236,0.6925678391408454,0.15468220008642694,4.657871918881023,0.8115285704753292,3.119830104231796,0.945519892962784,128.64180585308492,5.275229348303287
tire_force_static,405,405,0.19501562300445996,0.14490855117425597,0.1270084325354534,0.08271874828768666,0.7024536870606007,0.1476027272128893,4.7265603338385995,0.7405709140157182,6.446466817902798,0.6169490341969451,129.12817310336683,4.838784049048492
