slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.017607,0.296771,9.740657,6639.720375,0.559458,3611568.683341,15591.771279,0.827627,4178.130256,0.359680,0.017221,0.093638,9741.905366,-504.064658,-2483.262206
0.966085,-0.324451,7.549556,3306.937620,-0.241366,2382494.144938,2791.095174,0.360234,6764.211346,0.337562,0.017775,0.114971,2610.035333,691.829515,500.574585
-0.307651,0.191393,6.284925,7476.504059,0.278795,1827960.291681,7952.758214,0.884456,8291.450501,0.367971,0.022001,0.107703,6751.406934,-2140.148873,-744.431753
-0.513307,-0.046301,5.042574,6586.229137,-0.031002,1196526.929159,12422.419002,0.600799,14811.078534,0.260805,0.020284,0.118069,6384.870240,-2063.234293,86.977251
-0.503342,-0.510458,8.129075,3340.392965,-0.414766,749446.461970,17566.404450,0.580381,18450.154799,0.653822,0.014274,0.098882,3397.451847,-2560.042721,1108.027002
0.068081,-0.017489,8.408561,4421.736747,-0.013376,3667469.653782,10070.301900,0.495959,20526.120222,0.247915,0.024997,0.113169,4338.842769,160.262934,47.471881
-0.975566,-0.413061,9.288285,3093.075425,-0.410364,2685349.128984,4362.452328,0.468687,19648.574913,0.289684,0.019363,0.117103,3379.615581,-1042.127538,14.853473
-0.876706,-0.058363,2.004499,5532.778861,-0.070958,1370242.227937,6698.678195,0.606296,19712.513637,0.652528,0.012352,0.088778,5548.743979,-4887.444081,29.155684
0.995805,0.211475,9.408113,3708.642172,0.266094,2296254.010489,9556.623425,0.616978,16739.307676,0.486012,0.011624,0.114031,3669.199460,1954.851731,-863.282613
-0.769199,-0.061576,3.564250,7234.516265,-0.064764,989996.833220,7747.821744,1.068602,16526.526447,0.574966,0.010847,0.087817,7178.523534,-5917.395703,82.945211
-0.962523,-0.356465,8.541742,5856.954543,-0.211833,2597173.315317,19448.232724,0.912022,20628.372153,0.249232,0.019671,0.103474,5767.989915,-2522.388595,36.203923
-0.158306,-0.149584,6.437540,5636.399049,-0.089365,2960781.747391,6256.757116,0.338005,15987.413330,0.219502,0.013248,0.106342,6157.752350,-583.958269,440.628141
0.930437,-0.500759,7.085012,6664.667233,-0.490885,3646445.682119,19538.567192,0.660722,15845.749703,0.277171,0.016357,0.113297,7878.637844,1596.230944,2118.064785
-0.468252,0.202557,6.616805,3081.477728,0.144719,1143805.421538,18313.395745,0.415766,6214.968386,0.213557,0.015881,0.080126,3146.507739,-585.640885,-124.214117
-0.585410,-0.458211,3.785610,7011.448317,-0.323274,1753042.086235,5840.648106,0.677908,14406.648875,0.604034,0.014083,0.095129,6654.015221,-4563.084899,1380.787216
-0.337472,-0.318618,6.961583,3451.769729,-0.175727,2565430.207252,12668.337391,0.821989,5769.958170,0.612788,0.023853,0.112252,3088.015816,-1326.799151,745.828814
-0.346374,-0.574153,2.178981,3969.509118,-0.317483,1437428.017953,9812.156296,0.615636,17667.689249,0.198376,0.010568,0.111628,3299.520182,-806.679804,696.512111
0.906668,-0.478777,8.082614,2720.413659,-0.278955,2702793.129237,19225.231788,0.515794,19033.855085,0.615571,0.010735,0.102148,3438.840141,1573.348962,1991.880877
0.981316,-0.210987,6.433317,7046.861112,-0.144189,2071598.456027,4919.451170,0.877745,15963.793324,0.368124,0.023565,0.094002,7640.276904,2991.567414,1342.946666
-0.171230,-0.135878,5.854109,4990.684737,-0.118911,3281260.022225,7404.126625,0.772000,14056.898059,0.531987,0.014806,0.104838,5128.573423,-1934.290926,1191.872275
0.535471,0.507585,8.650712,2747.692213,0.281496,1370090.224303,10295.505394,0.862567,19178.064511,0.431669,0.022536,0.092559,2720.397688,513.670425,-1192.250061
0.051695,-0.171033,8.253553,3512.734779,-0.289998,2057608.458465,12279.016371,1.191510,20300.807369,0.487428,0.019411,0.106934,4101.685716,229.548043,1438.226347
0.235045,-0.369139,9.866898,3789.603320,-0.468253,700426.981214,1566.325329,1.059109,2235.926276,0.460204,0.014595,0.084594,6001.702134,596.290546,2238.587511
-0.803972,-0.100517,3.976054,4466.176195,-0.121215,2972678.316489,12727.796140,0.845621,16416.998788,0.460531,0.021436,0.091659,4206.636470,-2506.518014,57.958893
0.325832,0.428639,2.451689,3592.444963,0.260154,741672.766244,18207.738924,1.268512,15252.523444,0.230992,0.023633,0.115407,3561.411266,324.347211,-1401.681154
0.668935,-0.085476,3.440112,3238.290889,-0.048247,1473028.896439,5251.354219,1.171859,6593.420199,0.412350,0.024850,0.085935,3300.265117,1299.859766,288.587860
-0.858796,-0.442379,9.989631,4536.599735,-0.357296,958540.126896,15978.877048,0.838237,4880.213600,0.186533,0.015782,0.115578,4042.243872,-949.861398,65.270885
-0.178231,-0.577361,3.171499,6165.946700,-0.398433,597728.694498,15291.174954,0.531949,13008.237848,0.614886,0.016006,0.111121,6336.027567,-2290.098621,3463.971861
0.528402,0.194762,9.621084,5997.521122,0.200221,2390901.977713,1197.251736,0.964164,1073.727413,0.147204,0.020025,0.103251,6712.360793,696.891039,-433.065000
0.588834,0.221649,4.503979,3857.921956,0.111095,2510222.769338,16383.141675,0.552879,5831.996219,0.634438,0.013333,0.094100,4283.410677,2291.162302,-1475.932328
-0.730744,0.018393,3.979196,4692.587943,0.011025,2910504.078806,6159.124341,0.920218,6466.695429,0.138197,0.017359,0.088479,4643.644365,-889.898310,-5.593795
0.136044,-0.399416,5.907803,4850.454592,-0.272798,1672585.588648,14283.218537,0.611546,7327.616527,0.638446,0.017570,0.115859,4523.557349,290.993840,2596.664998
0.937737,0.454123,3.564217,7109.270164,0.525397,3984641.570913,8612.639543,0.397623,12183.405340,0.372749,0.022692,0.099600,7842.445316,1485.072901,-1754.466507
-0.167500,-0.228069,5.114052,5510.192231,-0.253239,3343724.133734,8917.278693,0.353313,9330.669140,0.350925,0.017185,0.081778,5926.598031,-576.480710,633.740291
-0.315233,-0.370050,3.442749,4428.337115,-0.206731,2640258.709627,11479.439377,0.721316,19244.462771,0.403437,0.017585,0.092442,4172.272570,-1506.152200,1053.270457
-0.880892,0.391628,6.924646,7311.772359,0.262448,3617941.495322,278.009674,0.926510,1732.927177,0.193997,0.017117,0.112296,6075.796908,-1175.286938,-47.900632
-0.573321,-0.076872,4.409811,4007.343205,-0.072634,1344921.898632,228.845019,1.210414,19934.795981,0.443445,0.023387,0.109939,3708.447103,-2743.951812,138.163601
-0.186596,0.275400,4.370846,7400.763348,0.380894,2348826.539594,15344.717931,0.508759,16327.222012,0.599578,0.018979,0.112852,8641.853306,-2983.000328,-2508.508176
0.419298,-0.239846,5.246347,5531.901920,-0.186662,3915261.558928,7969.269023,0.431347,10350.539348,0.537550,0.017454,0.085879,5785.670486,1744.092267,1521.847337
0.926400,0.584631,7.926300,6348.886813,0.403186,1881345.781464,8500.513281,0.962084,12160.063011,0.382807,0.021837,0.109801,6842.300781,1313.664322,-2439.408542
-0.238800,-0.119772,4.109560,4175.820545,-0.193287,2191853.665399,761.588575,1.160820,9900.724693,0.396199,0.024912,0.105431,4028.112959,-1353.500735,463.609660
-0.702464,-0.008932,3.708480,4438.784177,-0.015366,816548.131664,5585.415293,0.431045,6910.342763,0.271290,0.016327,0.107695,3691.929092,-1068.210377,3.639210
0.110760,-0.371622,8.094943,4466.066347,-0.254459,1220862.343608,14389.292760,0.906283,9329.519231,0.124133,0.020120,0.090461,4405.969177,33.734954,655.903213
-0.841558,-0.505168,7.098834,3529.621642,-0.282830,2492262.298288,13009.205279,0.584310,8115.575699,0.333454,0.023851,0.119001,3235.378744,-990.433548,92.994137
0.289732,-0.334456,9.179281,2571.444890,-0.204737,2047225.950251,4394.491266,0.355097,1638.225493,0.313571,0.024780,0.104083,3194.940036,205.527258,391.270127
-0.707421,-0.369047,6.501212,5066.594780,-0.304295,2790955.019483,17460.200394,0.878900,9081.712161,0.626512,0.021597,0.096069,4975.597591,-3603.329274,525.691003
0.611650,0.435296,7.897180,6245.789077,0.373743,3934838.334240,14481.496250,0.689649,9700.353887,0.412049,0.011719,0.099338,6890.738275,1543.415105,-2368.562166
0.153537,0.304941,2.905163,4722.069282,0.345041,2598954.781789,13926.720960,1.064947,7734.993964,0.455660,0.011569,0.105191,4614.641583,238.788474,-2075.277902
0.423459,-0.004701,4.812515,7175.565369,-0.005168,3144512.892110,5564.912902,0.739851,9429.395287,0.421538,0.012237,0.095756,7044.770272,2847.947451,45.550422
0.019181,-0.589323,7.821191,6997.836591,-0.344055,1319551.066025,9287.731718,1.156468,13656.869510,0.513576,0.016866,0.091199,6754.825884,-1262.795890,3636.150090
0.601883,0.347078,6.476884,4028.151555,0.176518,949067.796893,9920.432794,0.769937,18981.854488,0.289462,0.011557,0.103462,3441.800002,922.447361,-1050.414009
-0.670387,-0.055517,3.126601,6450.810177,-0.059164,1679702.482615,771.947321,1.028142,17484.507451,0.420870,0.012365,0.090582,6493.423819,-4000.170160,92.369062
-0.994018,-0.571036,4.272180,3718.525539,-0.342316,1304716.431581,6473.265043,0.849821,14387.645757,0.294765,0.014638,0.110119,3690.165513,-1738.458093,16.880617
-0.809737,0.243404,4.524950,3734.901500,0.274053,3366783.091238,8432.863564,0.427102,18858.646785,0.479750,0.016813,0.114533,4277.962481,-1871.533167,-90.023763
