experiment,phase,study_id,operator_id,input_device_model,block,repetition,pair_id,order_position,order_seed,filter,variant,delay_s,camera_delay_s,latency_profile,convoy,terrain,path,speed_mps,bumpiness,seed,run_dir,rc,wall_s,status,sim_diag_csv,collision_csv,shield_csv,sim_s,rt_factor,collisions,near_misses,collision_source,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,speed_ratio,progress_m,final_x_m,final_y_m,min_clearance_m,goal_distance_m,goal_reached_log,reached_goal,clean_success,intervention_rate_pct,filter_solve_ms,mean_abs_dsteer,mean_abs_dthrottle,contact_run
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed910,10,20260719,mpsf,mpsf_delay0.00,0.0,0.0,5g_nhits_geforce,stalled,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0010_mpsf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0,0,24.929950714111328,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0010_mpsf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0010_mpsf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,,14.9,0.92,0,0,chrono_body_contact,146,3.0701263892725743,5.711259,2.2428204051724143,3.348011965517242,0.6696023931034484,41.841974593005524,39.641672,0.101553,1.356947,40.0,1,1,1,43.0,0.725,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,1,0,b01_cut_in_5g_nhits_geforce_clay_straight_v5_b0_seed910,11,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,cut_in,clay,straight,5.0,0,910,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0011_dob_cbf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0,0,35.177536725997925,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0011_dob_cbf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0011_dob_cbf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0011_dob_cbf_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r0/cbf_filter_log.csv,25.0,0.94,0,0,chrono_body_contact,246,0.03486414534269917,0.055417,0.03239488425925926,4.720833333333345e-05,9.44166666666669e-06,0.209955736650696,0.052202,0.023414,5.875756,40.0,0,0,0,100.0,,0.1827233201581028,0.25947549407114623,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed911,12,20260719,mpsf,mpsf_delay0.00,0.0,0.0,5g_nhits_geforce,stalled,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0012_mpsf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1,0,28.409517288208008,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0012_mpsf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0012_mpsf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,,18.1,0.92,0,0,chrono_body_contact,178,4.147448928294117,6.664829,3.290411486486487,2.6966586418918914,0.5393317283783783,42.88797297642673,39.832814,0.516996,1.305427,40.0,1,1,1,46.7,0.928,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed911,13,20260719,mpsf,mpsf_delay0.00,0.0,0.0,5g_nhits_geforce,oncoming,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0013_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1,0,23.130380868911743,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0013_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0013_mpsf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,,12.0,0.84,0,0,chrono_body_contact,118,0.955122810543992,1.789494,0.7974725,4.277255125,0.855451025,40.12646720318083,40.015267,-1.789494,1.340688,40.0,1,1,1,38.8,0.873,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed911,14,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,lead_brake,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0014_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1,0,29.73783230781555,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0014_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0014_none_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,,20.1,0.93,1,2,chrono_body_contact,198,3.087666193959476,4.852537,2.6004465773809526,1.7243699404761907,0.34487398809523817,43.2558348481508,39.993191,-4.852537,-1.345189,40.0,1,1,0,,,,,1
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_cut_in_5g_nhits_geforce_clay_straight_v5_b0_seed911,15,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,cut_in,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0015_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r1,0,20.373448133468628,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0015_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0015_none_cut_in_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,,11.5,0.95,0,1,chrono_body_contact,113,1.9280441140859423,3.079555,1.6402994216867475,4.568329421686746,0.9136658843373493,40.04163539219587,39.784528,-2.476953,0.655574,40.0,1,1,1,,,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed911,16,20260719,none,none_delay0.00,0.0,0.0,5g_nhits_geforce,stalled,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0016_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1,0,23.879713773727417,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0016_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0016_none_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,,14.7,0.94,0,2,chrono_body_contact,145,2.521307177450171,4.255659,1.974271052173913,3.4060481130434783,0.6812096226086957,40.83045722133451,39.995434,1.601821,-0.576937,40.0,1,1,1,,,,,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_oncoming_5g_nhits_geforce_clay_straight_v5_b0_seed911,17,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,oncoming,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0017_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1,0,22.28627872467041,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0017_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0017_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0017_dob_cbf_oncoming_5g_nhits_geforce_clay_straight_v5_b0_r1/cbf_filter_log.csv,11.3,0.83,0,1,chrono_body_contact,111,0.8724635697585471,1.600921,0.6059872592592592,4.503282135802469,0.9006564271604939,39.783992073312305,39.719331,-1.547458,0.959715,40.0,1,1,1,7.8,,0.055616304347826086,0.029568478260869564,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_seed911,18,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,lead_brake,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0018_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1,0,34.72369575500488,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0018_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0018_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0018_dob_cbf_lead_brake_5g_nhits_geforce_clay_straight_v5_b0_r1/cbf_filter_log.csv,25.0,0.95,0,0,chrono_body_contact,246,0.005966525572897265,0.015298,0.004302819444444444,0.00013976388888888887,2.7952777777777773e-05,0.31851874564713134,0.049825,-0.006936,5.23194,40.0,0,0,0,100.0,,0.4139304347826087,0.1279407114624506,0
human_delay_compensation_rounds,study,acmd_single_operator_hil_demo_v2,op01,G923_Racing_Wheel_for_PlayStation_and_PC,2,1,b02_stalled_5g_nhits_geforce_clay_straight_v5_b0_seed911,19,20260719,dob_cbf,dob_cbf_delay0.00,0.0,0.0,5g_nhits_geforce,stalled,clay,straight,5.0,0,911,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0019_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1,0,34.978116512298584,ok,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0019_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/sim_diag.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0019_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/collision_log.csv,/home/ksha/Documents/sbel/offroad-control/benchmarking/results/human_delay_compensation_rounds_20260802_224342/raw/0019_dob_cbf_stalled_5g_nhits_geforce_clay_straight_v5_b0_r1/cbf_filter_log.csv,25.0,0.94,0,0,chrono_body_contact,246,0.1171905213989169,0.160448,0.11200807407407408,0.11673562499999998,0.023347124999999996,4.9476003332573155,4.640964,0.115853,7.583043,40.0,0,0,0,79.8,,0.265955980861244,0.2693712918660287,0
