variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std
dob,24,24,0.06498499872719123,0.012211704507366373,0.6565271202005132,0.1216398222462885,3.841911095118683,0.4337820462048905
ffdragsurr,24,24,0.06959226705531162,0.01491138130349852,0.6846044602055538,0.1505499209182986,4.008017180502786,0.6500036039932313
off,24,24,0.06452753846262839,0.008762070226509634,0.6176079929162497,0.11784420362735114,3.60913596998869,0.38323139216211244
